강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,,수강인원,수강정원,강의평점
교양선택,전학년,0912001-03,대학 글쓰기,오영록,"월07 ,08 ,09 [N14-208(56-208)]",3,,,52,45,4.68
교양선택,전학년,0912002-03,글쓰기와 발표,마희정,"화01 ,02 ,03 [N14-109(56-109)]",3,,,34,45,3.24
교양선택,전학년,0912001-04,대학 글쓰기,윤예영,"월07 ,08 ,09 [N13-403(59-403)]",3,,,44,45,4.57
교양선택,전학년,0912002-04,글쓰기와 발표,마희정,"화07 ,08 ,09 [N7-404]",3,,,39,45,3.24
교양선택,전학년,0912001-05,대학 글쓰기,윤예영,"화07 ,08 ,09 [N13-403(59-403)]",3,,,45,45,4.5
교양선택,전학년,0912002-05,글쓰기와 발표,김보현,"화07 ,08 ,09 [N15-245(57-245)]",3,,,41,45,3.04
교양선택,전학년,0912001-06,대학 글쓰기,이혜정,"화04 ,05 ,06 [N14-109(56-109)]",3,,,43,45,3.82
교양선택,전학년,0912002-06,글쓰기와 발표,이지원,"수05 ,06 ,07 [N14-104(56-104)]",3,,,37,45,5
교양선택,전학년,0912001-07,대학 글쓰기,오영록,"화07 ,08 ,09 [N14-204(56-204)]",3,,,53,45,4.71
교양선택,전학년,0912002-07,글쓰기와 발표,김보현,"수07 ,08 ,09 [N13-101(59-101)]",3,,,41,45,3.04
교양선택,전학년,0912001-08,대학 글쓰기,방상호,"화07 ,08 ,09 [N13-304(59-304)]",3,,,44,45,3.44
교양선택,전학년,0912002-08,글쓰기와 발표,김정선,"수07 ,08 ,09 [N13-304(59-304)]",3,,,33,45,3.71
교양선택,전학년,0912001-09,대학 글쓰기,이익성,"수01 ,02 ,03 [N14-108(56-108)]",3,,,38,45,0
교양선택,전학년,0912002-09,글쓰기와 발표,이지원,"목04 ,05 ,06 [N13-101(59-101)]",3,,,44,45,4.67
교양선택,전학년,0912001-10,대학 글쓰기,정효구,"수04 ,05 ,06 [N14-108(56-108)]",3,,,37,45,0
교양선택,전학년,0912002-10,글쓰기와 발표,이지원,"목07 ,08 ,09 [N13-101(59-101)]",3,,,40,45,5
교양선택,전학년,0912001-11,대학 글쓰기,전계영,"금01 ,02 ,03 [N14-104(56-104)]",3,,,38,45,4.46
교양선택,전학년,0912002-11,글쓰기와 발표,김보현,"목04 ,05 ,06 [N16-1-329(58-329)]",3,,,34,45,3.09
교양선택,전학년,0912001-12,대학 글쓰기,홍진옥,"수07 ,08 ,09 [N14-204(56-204)]",3,,,47,45,3.7
교양선택,전학년,0912002-12,글쓰기와 발표,이은경,"수07 ,08 ,09 [N13-403(59-403)]",3,,,41,45,2.6
교양선택,전학년,0912001-13,대학 글쓰기,김용남,"목01 ,02 ,03 [N13-304(59-304)]",3,,,47,45,4.59
교양선택,전학년,0912002-13,글쓰기와 발표,김정선,"월07 ,08 ,09 [N16-1-329(58-329)]",3,,,41,45,3.72
교양선택,전학년,0912001-14,대학 글쓰기,이향애,"목04 ,05 ,06 [N13-304(59-304)]",3,,,44,45,4.3
교양선택,전학년,0912002-14,글쓰기와 발표,이은경,"목07 ,08 ,09 [N13-403(59-403)]",3,,,43,45,2.76
교양선택,전학년,0912001-15,대학 글쓰기,이혜정,"목04 ,05 ,06 [N13-403(59-403)]",3,,,39,45,3.82
교양선택,전학년,0912001-16,대학 글쓰기,이향애,"금02 ,03 ,04 [N13-304(59-304)]",3,,,40,45,4.3
교양선택,전학년,0912001-17,대학 글쓰기,김은일,"금02 ,03 ,04 [N14-204(56-204)]",3,,,42,45,4.21
교양선택,전학년,0912001-18,대학 글쓰기,방상호,"월07 ,08 ,09 [N14-704(56-704)]",3,,,36,45,3.52
교양선택,전학년,0912001-19,대학 글쓰기,김용남,"화01 ,02 ,03 [N13-104(59-104)]",3,,,47,45,4.62
교양선택,전학년,0912001-20,대학 글쓰기,홍진옥,"화07 ,08 ,09 [N13-104(59-104)]",3,,,35,45,3.7
교양선택,전학년,0912001-21,대학 글쓰기,김보현,"수01 ,02 ,03 [N16-1-329(58-329)]",3,,,41,45,3.6
교양선택,전학년,0912001-22,대학 글쓰기,이상희,"화05 ,06 ,07 [N14-207(56-207)]",3,,,41,45,4.05
