강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,단과대학,학과,수강인원,수강정원,강의평점
전공필수,2학년,7716057-01,주거복지,이현정,"수02 ,03 ,04 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,45,60,5
전공선택,2학년,7716070-01,공간조형이론 및 실습,김미경,"화02 ,03 ,04 ,05 [N20-1-217(62-217)]",3,생활과학대학,주거환경학과,28,45,0
전공선택,2학년,7716088-01,주택구조 및 시공,임해원,"목07 ,08 ,09 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,31,60,0
전공필수,3학년,7716003-01,주택시장과 정책,이현정,"화02 ,03 ,04 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,29,60,0
전공선택,3학년,7716010-01,단독주택설계,임해원,"목02 ,03 ,04 ,05 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,13,60,0
전공필수,3학년,7716019-01,한국주거사,이상운,"월02 ,03 ,04 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,30,60,0
전공선택,3학년,7716062-01,가정과 논리 및 논술,임일영,"화10 ,11 ,12 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,1,60,0
전공선택,3학년,7716085-01,가구디자인론,김미경,"수07 ,08 ,09 [N20-1-112(62-112)]",3,생활과학대학,주거환경학과,24,60,0
전공필수,3학년,7716108-01,친환경주거 및 실습,최윤정,"화06 ,07 ,08 ,09 [N20-1-217(62-217)]",3,생활과학대학,주거환경학과,25,45,1
전공선택,3학년,7716115-01,상업공간디자인(캡스톤디자인),황지현,"수01 ,02 ,03 ,04 [N20-1-216(62-216)]",3,생활과학대학,주거환경학과,19,28,0
전공선택,4학년,7716081-01,커뮤니티계획세미나,이상운,"화02 ,03 ,04 [N18-216]",3,생활과학대학,주거환경학과,19,64,0
전공선택,4학년,7716109-01,무장애환경론,황윤서,"수02 ,03 ,04 [N20-1-217(62-217)]",3,생활과학대학,주거환경학과,10,45,0
전공선택,4학년,7716112-01,건강주거세미나,최윤정,"목02 ,03 ,04 [N20-1-217(62-217)]",3,생활과학대학,주거환경학과,0,45,0
전공필수,4학년,7716113-02,리모델링 이론 및 실습Ⅰ,김홍준,목10 [N20-1-216(62-216)],1,생활과학대학,주거환경학과,29,28,0
전공필수,4학년,7716114-02,리모델링 이론 및 실습Ⅱ,김홍준,"목06 ,07 ,08 ,09 [N20-1-216(62-216)]",2,생활과학대학,주거환경학과,29,28,0
전공필수,1학년,8006042-01,기초수의학개론,"김대중, 남상윤, 성연희, 이현직, 최경철, 현상환","금01 ,02 ,03 [E12-1-b302]",3,수의과대학,수의예과,66,200,0
전공필수,2학년,8006041-01,동물사양학,최성호,"수01 ,02 ,03 [E12-2-113]",3,수의과대학,수의예과,37,60,5
전공필수,2학년,8006043-01,예방수의학개론,"김수종, 민경덕, 안병우, 이범준, 이상명, 이승헌, 이완규, 허강준","월01 ,02 ,03 [E12-2-113]",3,수의과대학,수의예과,36,60,0
전공필수,2학년,8006044-01,동물유전학,박한슬,"월07 ,08 ,09 [E12-2-113]",3,수의과대학,수의예과,23,60,0
전공필수,2학년,8006045-01,수의용어학,김수종,"목06 ,07 ,08 [E12-2-113]",3,수의과대학,수의예과,39,60,0
전공선택,2학년,8006046-01,수의세포생물학,"김승렬, 김형규, 신은영, 이용희, 최중국","화06 ,07 ,08 [E12-2-113]",3,수의과대학,수의예과,37,60,0
전공선택,2학년,8006047-01,기초유기화학,김기태,"목01 ,02 ,03 [E12-2-113]",3,수의과대학,수의예과,37,60,0
전공필수,1학년,8005019-01,수의생리학및실험I,이현직,"금07 [E12-1-a108] 금08 ,09 ,10 ,11 [E12-2-202] 토01 ,02 ,03 [E12-1-a108]",4,수의과대학,수의학과,28,60,0
전공필수,1학년,8005021-01,수의세균학및실험,이완규,"화05 ,06 수03 [E12-1-a108] 수08 ,09 ,10 [E12-1-a306]",3,수의과대학,수의학과,36,60,0
전공필수,1학년,8005039-01,수의조직학및실험I,김대중,"월01 화07 ,08 ,09 목05 ,06 [E12-1-a108]",3,수의과대학,수의학과,37,60,0
전공필수,1학년,8005054-01,수의생화학 및 실험 I,"김승렬, 최경철","수01 ,02 목02 ,03 ,07 ,08 ,09 [E12-1-a108]",4,수의과대학,수의학과,41,60,0
전공필수,1학년,8005143-01,수의발생학 및 실험 I,현상환,"화02 ,03 [E12-1-a108] 금05 ,06 [E12-1-a404]",2,수의과대학,수의학과,35,60,0
