강의구분,수강학년,과목코드,과목명,교수명,수업시간,학점,,강의평점,수강인원,수강정원
전공필수,1학년,5338057-01,서양철학의 이해,허준,"금05 ,06 ,07 [N16-1-327(58-327)]",3,,,39,70
전공선택,2학년,5338009-01,서양고대철학사,임경헌,"월07 ,08 ,09 [N16-1-327(58-327)]",3,,,23,70
전공선택,2학년,5338015-01,윤리학,한상원,"수02 ,03 ,04 [N16-1-327(58-327)]",3,,,60,70
전공선택,2학년,5338020-01,인도철학사,박보람,"금02 ,03 ,04 [N16-1-327(58-327)]",3,,,13,70
전공선택,2학년,5338032-01,형이상학,김상록,"수07 ,08 ,09 [N16-1-327(58-327)]",3,,,36,70
전공선택,2학년,5338034-01,현대논리학,김준열,"월02 ,03 ,04 [N16-1-327(58-327)]",3,,,35,70
전공선택,2학년,5338059-01,제자백가의철학,정세근,"화02 ,03 ,04 [N16-1-327(58-327)]",3,,,10,70
전공선택,3학년,5338019-01,인식론,윤석빈,"금06 ,07 ,08 [N16-1-324(58-324)]",3,,,21,40
전공선택,3학년,5338029-01,한국철학사,원용준,"목02 ,03 ,04 [N16-1-327(58-327)]",3,,,20,70
전공선택,3학년,5338042-01,현대영미철학,김준열,"금02 ,03 ,04 [N16-1-324(58-324)]",3,,,12,40
전공선택,3학년,5338043-01,현대유럽철학,김상록,"화07 ,08 ,09 [N16-1-327(58-327)]",3,,,24,70
전공선택,3학년,5338064-01,서양중세철학 세미나,임경헌,"월02 ,03 ,04 [N16-1-325(58-325)]",3,,,4,50
전공선택,3학년,5338084-01,현대 정치철학,한상원,"화02 ,03 ,04 [N16-1-324(58-324)]",3,,,29,40
전공선택,3학년,5338090-01,대승불교철학 세미나,박보람,"목06 ,07 ,08 [N16-1-327(58-327)]",3,,,12,70
전공선택,4학년,5338052-01,철학과 교재연구 및 지도법,백춘현,"목05 ,06 ,07 [N16-1-324(58-324)]",3,,,3,40
전공선택,4학년,5338053-01,철학논술 교육론,백춘현,"목02 ,03 ,04 [N16-1-324(58-324)]",3,,,5,40
전공선택,4학년,5338074-01,서양근대철학 세미나,윤석빈,"수06 ,07 ,08 [N16-1-324(58-324)]",3,,,6,40
전공선택,4학년,5338085-01,예술철학,정세근,"월02 ,03 ,04 [N16-1-324(58-324)]",3,,,12,40
전공선택,4학년,5338086-01,동양철학 세미나,원용준,"화07 ,08 ,09 [N16-1-324(58-324)]",3,,,12,40
전공선택,4학년,5338091-01,철학과 현실 세미나,한상원,"금02 ,03 ,04 [N16-1-225(58-225)]",3,,,0,40
전공선택,1학년,5342001-01,프랑스어 발음연습,박혜선,"금02 ,03 ,04 [N16-1-227(58-227)]",3,,,25,50
전공선택,1학년,5342002-01,프랑스어 입문Ⅰ,이은미,"수03 [N14-204(56-204)] 목03 ,04 [N14-203(56-203)]",3,,,24,66
전공선택,1학년,5342003-01,기초프랑스어 연습Ⅰ,곽노경,"월02 ,03 ,04 [N16-1-227(58-227)]",3,,,27,50
전공필수,2학년,5342007-01,프랑스어 말하기 Ⅰ,로돌프매댕제,화05 수05 목05 [N16-1-228(58-228)],3,,,11,50
전공필수,2학년,5342007-02,프랑스어 말하기 Ⅰ,로돌프매댕제,화06 수06 목06 [N16-1-228(58-228)],3,,,17,50
전공선택,2학년,5342008-01,중급프랑스어 문법,김경석,"수08 ,09 목09 [N16-1-227(58-227)]",3,,,22,50
전공선택,2학년,5342009-01,프랑스어 쓰기,로돌프매댕제,"화08 ,09 목08 [N16-1-228(58-228)]",3,,,7,50
전공선택,2학년,5342011-01,프랑스 사회와 대중문화,조만수,"수02 ,03 목02 [N16-1-228(58-228)]",3,,,22,50
전공선택,2학년,5342012-01,중급프랑스어,박혜선,"금06 ,07 ,08 [N16-1-123(58-123)]",3,,,8,50
전공선택,2학년,5342039-01,프랑스 음식과 지역문화,고봉만,"월03 ,04 목03 [N16-1-228(58-228)]",3,,,17,50
전공선택,3학년,5342019-01,프랑스 문학사Ⅰ,김지혜,"화07 목05 ,06 [N16-1-227(58-227)]",3,,,3,50
전공선택,3학년,5342020-01,프랑스 어학Ⅰ,김경석,"수07 목07 ,08 [N16-1-227(58-227)]",3,,,6,50
전공선택,3학년,5342022-01,프랑스 미술과 건축의 사회사,조만수,"화02 ,03 [N16-1-228(58-228)] 목03 [N16-1-227(58-227)]",3,,,11,50
전공선택,3학년,5342023-01,프랑스어 쓰기 실습,로돌프매댕제,"수08 ,09 목09 [N16-1-228(58-228)]",3,,,3,50
전공선택,3학년,5342040-01,프랑스어 텍스트 번역 연습,김대영,"수04 ,05 ,06 [N16-1-227(58-227)]",3,,,11,50
전공선택,4학년,5342030-01,프랑스 명시 감상,고봉만,"화08 ,09 [N16-1-227(58-227)] 목06 [N16-1-225(58-225)]",3,,,7,40
전공선택,4학년,5342031-01,불어과 교재연구 및 지도법,김대영,"금05 ,06 ,07 [N16-1-227(58-227)]",3,,,2,50
